Gene	Tissue	Expression	z-Score	p-Value
PDPK1	Heart_Left_Ventricle	5.7379999999999995	-1.6552286873096669	0.9510609409112653
PDPK1	Kidney_Cortex	10.72	-0.5143830289525839	0.6965078889119672
PDPK1	Liver	6.347	-1.5157716407541744	0.9352114473409576
PDPK1	Lung	16.94	0.9099565926815099	0.18142270110868486
PDPK1	Ovary	16.68	0.8504182805231711	0.19754628813026232
PDPK1	Pancreas	7.771	-1.1896848849331214	0.8829148657954958
PDPK1	Prostate	14.14	0.26877476943786627	0.3940515050973259
PDPK1	Testis	16.91	0.9030867874324705	0.18323991788509575
SGK1	Adrenal_Gland	57.87	0.7456835627392312	0.2279292954412897
SGK1	Bladder	15.51	-0.5698510625636616	0.7156106405040586
SGK1	Brain_Frontal_Cortex_BA9	9.687000000000001	-0.750690489455511	0.7735805259968433
SGK1	Brain_Spinal_cord_cervical_c-1	42.16	0.25779288843544346	0.39828337662135094
SGK1	Colon_Sigmoid	7.475	-0.8193864901913467	0.793717029828745
SGK1	Colon_Transverse	21.655	-0.3790115849317853	0.6476603694935215
SGK1	Esophagus_Gastroesophageal_Junction	11.3	-0.7005970675807809	0.7582227455115067
SGK1	Esophagus_Mucosa	46.83	0.4028246802240297	0.34353860184025153
SGK1	Esophagus_Muscularis	9.808	-0.7469327064134513	0.7724479088989027
SGK1	Heart_Atrial_Appendage	14.93	-0.5878635763189891	0.721688066829948
SGK1	Heart_Left_Ventricle	9.354	-0.761032156835725	0.7766810697427662
SGK1	Kidney_Cortex	28.28	-0.17326519936446555	0.5687785115903431
SGK1	Liver	17.67	-0.5027699768541656	0.6924369978169442
SGK1	Lung	91.27	1.782955906580511	0.03729674063830746
SGK1	Ovary	130.6	3.0043906755409164	0.0013305668802414683
SGK1	Pancreas	33.83	-0.0009040763608996604	0.5003606742359412
SGK1	Prostate	34.565	0.02192212641524825	0.4912550373440766
SGK1	Testis	26.67	-0.22326545306459908	0.5883355434453744
SGK3	Adrenal_Gland	4.1055	-0.4084983042617498	0.6585460623798661
SGK3	Bladder	4.194	-0.3916443966799012	0.6523395103270745
SGK3	Brain_Frontal_Cortex_BA9	5.4110000000000005	-0.1598793624752705	0.563511947128766
SGK3	Brain_Spinal_cord_cervical_c-1	25.72	3.7077591582000324	0.00010455069034764897
SGK3	Colon_Sigmoid	4.738	-0.2880452359507975	0.613343943968218
SGK3	Colon_Transverse	5.511	-0.14083539910595003	0.5560000113401401
SGK3	Esophagus_Gastroesophageal_Junction	4.279	-0.3754570278159788	0.6463397002257361
SGK3	Esophagus_Mucosa	4.138999999999999	-0.4021185765330276	0.6562016190112023
SGK3	Esophagus_Muscularis	3.8555	-0.4561082126850511	0.6758439176279442
SGK3	Heart_Atrial_Appendage	2.343	-0.7441481586460239	0.7716065765098161
SGK3	Heart_Left_Ventricle	1.351	-0.9330642752696834	0.824606608509115
SGK3	Kidney_Cortex	4.138999999999999	-0.4021185765330276	0.6562016190112023
SGK3	Liver	4.425	-0.3476528412967709	0.6359495414697103
SGK3	Lung	8.453	0.4194380032194593	0.33744802751200076
SGK3	Ovary	8.366	0.4028697550881505	0.34352202107537866
SGK3	Pancreas	5.5545	-0.13255127504029565	0.5527258654225894
SGK3	Prostate	7.466	0.23147408476426598	0.4084732580743282
SGK3	Testis	8.459	0.4205806410216186	0.33703066622735656
SLC2A4	Adrenal_Gland	5.132999999999999	-0.6294155316745952	0.7354614738264796
SLC2A4	Bladder	67.31	0.7603222203717658	0.22353100145227578
SLC2A4	Brain_Frontal_Cortex_BA9	1.161	-0.7181949573646115	0.7636814566233954
SLC2A4	Brain_Spinal_cord_cervical_c-1	0.6591	-0.7294130826802759	0.7671254912563621
SLC2A4	Colon_Sigmoid	94.91	1.3772185318129668	0.08422234698723197
SLC2A4	Colon_Transverse	22.935	-0.2315174107950205	0.5915435695182187
SLC2A4	Esophagus_Gastroesophageal_Junction	122.3	1.989421066971463	0.023327373119376604
SLC2A4	Esophagus_Mucosa	6.841	-0.5912394845752629	0.722820014843773
SLC2A4	Esophagus_Muscularis	137.2	2.322455669887184	0.010104206378745761
SLC2A4	Heart_Atrial_Appendage	42.52	0.2062331058562812	0.4183044144557192
SLC2A4	Heart_Left_Ventricle	62.12	0.6443188922420616	0.25968433363728394
SLC2A4	Kidney_Cortex	2.06	-0.6981011246115086	0.7574430225839857
SLC2A4	Liver	1.41	-0.7126294797722615	0.7619624676406478
SLC2A4	Lung	3.3110000000000004	-0.6701396287559672	0.7486156076929926
SLC2A4	Ovary	4.401	-0.6457766947171661	0.7407880084640134
SLC2A4	Pancreas	0.4259	-0.7346254094856415	0.7687161706440739
SLC2A4	Prostate	17.485	-0.35333208098902574	0.6380802512877195
SLC2A4	Testis	7.093999999999999	-0.5855846017203852	0.7209226507128204
VAMP2	Adrenal_Gland	107.0	-0.07417362758239483	0.52956388491375
VAMP2	Bladder	93.72	-0.21517135272987517	0.5851831374898769
VAMP2	Brain_Frontal_Cortex_BA9	439.5	3.456078150394805	0.0002740481929587313
VAMP2	Brain_Spinal_cord_cervical_c-1	154.2	0.4269628654116616	0.3347031876824511
VAMP2	Colon_Sigmoid	108.8	-0.05506249013770626	0.5219556603400093
VAMP2	Colon_Transverse	72.065	-0.4450889534880594	0.6718722642693287
VAMP2	Esophagus_Gastroesophageal_Junction	124.5	0.11162909757429988	0.45555874984097944
VAMP2	Esophagus_Mucosa	53.42	-0.6430484855192921	0.739903680323212
VAMP2	Esophagus_Muscularis	107.85	-0.06514892378906971	0.5259722862053572
VAMP2	Heart_Atrial_Appendage	55.59	-0.6200089475998619	0.732374051929209
VAMP2	Heart_Left_Ventricle	39.65	-0.7892486869711598	0.7850166644931391
VAMP2	Kidney_Cortex	74.14	-0.4230580589337656	0.6638735491731186
VAMP2	Liver	24.94	-0.9454291490885873	0.8277800867374894
VAMP2	Lung	112.7	-0.013655025674214234	0.5054473977941683
VAMP2	Ovary	223.8	1.1659268466062878	0.12182201175277951
VAMP2	Pancreas	34.975	-0.8388845578344484	0.799232952952309
VAMP2	Prostate	126.75	0.13551801938016064	0.4461011591358345
VAMP2	Testis	98.15	-0.16813672001878038	0.5667621389281211
