Gene	Tissue	Expression	z-Score	p-Value
AKT1	Adrenal_Gland	147.819636857	1.2501529153422857	0.10562184648869744
AKT1	Bladder	93.15322476930002	0.2523253665806037	0.4003947913150655
AKT1	Brain_Frontal_Cortex_BA9	126.25576553089999	0.8565469689228378	0.19584765224363632
AKT1	Brain_Spinal_cord_cervical_c-1	23.1300690912	-1.025809252438179	0.8475092480122268
AKT1	Colon_Sigmoid	78.9486924273	-0.006950359534097885	0.5027727699578619
AKT1	Colon_Transverse	78.9486924273	-0.006950359534097885	0.5027727699578619
AKT1	Esophagus_Gastroesophageal_Junction	24.656494482299998	-0.9979473670829555	0.8408475592469362
AKT1	Esophagus_Mucosa	24.656494482299998	-0.9979473670829555	0.8408475592469362
AKT1	Esophagus_Muscularis	24.656494482299998	-0.9979473670829555	0.8408475592469362
AKT1	Heart_Atrial_Appendage	40.320173779399994	-0.7120377907870001	0.7617793126038603
AKT1	Heart_Left_Ventricle	40.320173779399994	-0.7120377907870001	0.7617793126038603
AKT1	Kidney_Cortex	21.4849809444	-1.0558370923919864	0.8544786756784732
AKT1	Liver	98.80243365919998	0.35544053444653895	0.36112979332151796
AKT1	Lung	22.6012049671	-1.0354626240867901	0.849773543658632
AKT1	Ovary	188.0629699187	1.984715599253842	0.023588061138256622
AKT1	Pancreas	106.1005161443	0.48865263816180055	0.3125438199584072
AKT1	Prostate	122.53718649409997	0.7886716417619098	0.21515197327094837
AKT1	Testis	165.47527139369998	1.5724217063381987	0.057926391752912476
AKT2	Adrenal_Gland	249.9919544556	0.6890478608839283	0.2453965746741955
AKT2	Bladder	154.88087969670002	-0.11737423789093518	0.5467182509369481
AKT2	Brain_Frontal_Cortex_BA9	350.1455630481001	1.5382242942885196	0.061996891414144106
AKT2	Brain_Spinal_cord_cervical_c-1	175.28695954129998	0.05564361284584123	0.4778128601386751
AKT2	Colon_Sigmoid	150.33504833589996	-0.15591716126705812	0.5619508409952876
AKT2	Colon_Transverse	150.33504833589996	-0.15591716126705812	0.5619508409952876
AKT2	Esophagus_Gastroesophageal_Junction	32.430522086399996	-1.155599014870343	0.8760773944164699
AKT2	Esophagus_Mucosa	32.430522086399996	-1.155599014870343	0.8760773944164699
AKT2	Esophagus_Muscularis	32.430522086399996	-1.155599014870343	0.8760773944164699
AKT2	Heart_Atrial_Appendage	56.16304177709999	-0.9543771446864066	0.8300536144835506
AKT2	Heart_Left_Ventricle	56.16304177709999	-0.9543771446864066	0.8300536144835506
AKT2	Kidney_Cortex	65.5720813374	-0.8746003421541353	0.8091042992222754
AKT2	Liver	167.10628697160004	-0.013718185028596733	0.5054725923711556
AKT2	Lung	206.60878711200002	0.32121325330103695	0.37402439460913817
AKT2	Ovary	391.6900345014999	1.89046907700041	0.029347626251439385
AKT2	Pancreas	177.1370857194	0.07133035215904754	0.4715674196085894
AKT2	Prostate	190.1327992577	0.18151763174976748	0.42798064744603637
AKT2	Testis	398.1961026989	1.9456323393630701	0.025849459728764068
GSK3A	Adrenal_Gland	44.565514091199994	0.00458980119047964	0.4981689406754163
GSK3A	Bladder	59.335429038	0.39697634627506573	0.34569245172509633
GSK3A	Brain_Frontal_Cortex_BA9	122.15749178749999	2.0659454802309836	0.019416813901640628
GSK3A	Brain_Spinal_cord_cervical_c-1	57.0308113529	0.3357504709430519	0.36852952125819693
GSK3A	Colon_Sigmoid	31.875024148	-0.33255347432457577	0.6302643158820622
GSK3A	Colon_Transverse	31.875024148	-0.33255347432457577	0.6302643158820622
GSK3A	Esophagus_Gastroesophageal_Junction	6.3349549698	-1.0110664882554012	0.8440076958173426
GSK3A	Esophagus_Mucosa	6.3349549698	-1.0110664882554012	0.8440076958173426
GSK3A	Esophagus_Muscularis	6.3349549698	-1.0110664882554012	0.8440076958173426
GSK3A	Heart_Atrial_Appendage	15.978039752699999	-0.7548824319795957	0.7748402361506993
GSK3A	Heart_Left_Ventricle	15.978039752699999	-0.7548824319795957	0.7748402361506993
GSK3A	Kidney_Cortex	11.0963476482	-0.8845724339837348	0.8118063601714383
GSK3A	Liver	32.9722813753	-0.30340307135745376	0.6192086473402146
GSK3A	Lung	28.2499586779	-0.42885916874742336	0.665987141860712
GSK3A	Ovary	104.4552734722	1.5956575801250616	0.055282632169685986
GSK3A	Pancreas	61.230193106200005	0.4473138011046546	0.32732425181078406
GSK3A	Prostate	41.5163387849	-0.07641644482419414	0.530456106609017
GSK3A	Testis	121.74883729579999	2.055088916418055	0.019935208632126944
GSK3B	Adrenal_Gland	44.565514091199994	0.08933152818748083	0.4644092191775787
GSK3B	Bladder	0.0	-1.058232789023143	0.8550253369693956
GSK3B	Brain_Frontal_Cortex_BA9	122.15749178749999	2.0873290094654733	0.01842920211404131
GSK3B	Brain_Spinal_cord_cervical_c-1	57.0308113529	0.41031358421575126	0.34078796422776014
GSK3B	Colon_Sigmoid	31.875024148	-0.23744925115984555	0.5938458574423023
GSK3B	Colon_Transverse	31.875024148	-0.23744925115984555	0.5938458574423023
GSK3B	Esophagus_Gastroesophageal_Junction	6.3349549698	-0.8951073674336704	0.8146351520141744
GSK3B	Esophagus_Mucosa	6.3349549698	-0.8951073674336704	0.8146351520141744
GSK3B	Esophagus_Muscularis	6.3349549698	-0.8951073674336704	0.8146351520141744
GSK3B	Heart_Atrial_Appendage	15.978039752699999	-0.6467974302466578	0.7411184721283319
GSK3B	Heart_Left_Ventricle	15.978039752699999	-0.6467974302466578	0.7411184721283319
GSK3B	Kidney_Cortex	11.0963476482	-0.7725012570951229	0.7800911986795983
