Gene_A	Pathway	Gene_B	Upstream	Downstream	Upregulating	Downregulating	Upregulated	Downregulated	Tissue	Gene_A_Gene_Expression	Gene_A_Gene_Expression_z-Score	Gene_A_Gene_Expression_p-Value	Gene_A_Protein_Expression	Gene_A_Protein_Expression_z-Score	Gene_A_Protein_Expression_p-Value	Gene_B_Gene_Expression	Gene_B_Gene_Expression_z-Score	Gene_B_Gene_Expression_p-Value	Gene_B_Protein_Expression	Gene_B_Protein_Expression_z-Score	Gene_B_Protein_Expression_p-Value
VAMP2	WP481	PDPK1	True	False	True	False	False	False	Adrenal_Gland	107.0	-0.07417362758239483	0.52956388491375	50.2380840509	-0.03338981001863674	0.5133181322197973	13.36	0.09015983296285103	0.46408010146765455	8.356033892100001	-0.1792400358270047	0.5711253856613108
VAMP2	WP481	PDPK1	True	False	True	False	False	False	Bladder	93.72	-0.21517135272987517	0.5851831374898769	37.2428179273	-0.2207422240026116	0.5873534238421515	16.62	0.8366786700250934	0.20138660592184388	11.176875293400002	0.10406305805019263	0.458559653524628
VAMP2	WP481	PDPK1	True	False	True	False	False	False	Brain_Frontal_Cortex_BA9	439.5	3.456078150394805	0.0002740481929587313	324.4724423734	3.920239807135649	4.423044944512622e-05	22.02	2.0732436148521196	0.019074806622565332	42.521468154	3.252067100261386	0.0005728448567271505
VAMP2	WP481	PDPK1	True	False	True	False	False	False	Brain_Spinal_cord_cervical_c-1	154.2	0.4269628654116616	0.3347031876824511	69.06537988439999	0.23804282473063135	0.40592393967220763	9.51	-0.7914651739971587	0.7856637045161636	12.775014665299999	0.26456758988866247	0.3956712950873824
VAMP2	WP481	PDPK1	True	False	True	False	False	False	Colon_Sigmoid	108.8	-0.05506249013770626	0.5219556603400093	29.3805222135	-0.3340927369837361	0.630845209722033	14.32	0.3099936009321004	0.3782829112746553	5.9355108392	-0.4223383076304536	0.6636109496063037
VAMP2	WP481	PDPK1	True	False	True	False	False	False	Colon_Transverse	72.065	-0.4450889534880594	0.6718722642693287	29.3805222135	-0.3340927369837361	0.630845209722033	13.935	0.22183110023609948	0.4122226840368106	5.9355108392	-0.4223383076304536	0.6636109496063037
VAMP2	WP481	PDPK1	True	False	True	False	False	False	Esophagus_Gastroesophageal_Junction	124.5	0.11162909757429988	0.45555874984097944	27.243415346	-0.3649033511535164	0.6424082236529122	14.21	0.2848043150189574	0.3878970330864765	0.0	-1.0184542692410739	0.8457689385158261
VAMP2	WP481	PDPK1	True	False	True	False	False	False	Esophagus_Mucosa	53.42	-0.6430484855192921	0.739903680323212	27.243415346	-0.3649033511535164	0.6424082236529122	13.02	0.012302040140408642	0.49509231984131685	0.0	-1.0184542692410739	0.8457689385158261
VAMP2	WP481	PDPK1	True	False	True	False	False	False	Esophagus_Muscularis	107.85	-0.06514892378906971	0.5259722862053572	27.243415346	-0.3649033511535164	0.6424082236529122	14.21	0.2848043150189574	0.3878970330864765	0.0	-1.0184542692410739	0.8457689385158261
VAMP2	WP481	PDPK1	True	False	True	False	False	False	Heart_Atrial_Appendage	55.59	-0.6200089475998619	0.732374051929209	21.478342436800002	-0.44801825746318596	0.6729299898909211	6.942	-1.3795205033149	0.9161328354664645	11.9886108197	0.18558738122016694	0.42638417498891723
